filename,codec,episode,episode_title,language,media_type,resolution,season,source,studio,title,year
The.Matrix.S10E20.2160p.HULU.mkv,,20,,,tv,,10,,,The Matrix,
[Commie] Death Note - 05 [1080p].mkv,,5,,,anime,,,,Commie,Death Note,
Naruto_S10E09-10_Revelations_1440p_BluRay_XVID_-RARBG.mkv,,9,Origins,,tv,1440p,10,BluRay,,Naruto,
Fight Club.S07E15.Origins.1080p.mkv,,15,Origins,,tv,,7,,,Fight Club,
Interstellar-2006-1440p-DVDRip-AVC-SPARKS.mkv,AVC,,,,movie,1440p,,DVDRip,,Interstellar,2006
Game of Thrones 11x14 2160p NETFLIX DTS-HD.MA.5.1 AVC -YIFY.mkv,,14,,,tv,2160p,11,NETFLIX,,Game of Thrones,
Fight_Club_S14E07-08_720p_DVDRip_HEVC_.FraMeSToR.mkv,,7,,,tv,720p,14,DVDRip,,Fight Club,
Parasite S02E19-20 Revelations 480p HULU x264.mkv,,19,The Beginning,,tv,480p,2,HULU,,Parasite,
My_Hero_Academia_2024_2160p_HULU_x265.mkv,x265,,,,movie,2160p,,HULU,,My Hero Academia,2024
Jujutsu-Kaisen-2005.05.19-480p-10bit-WEB-DL-H.264-SPARKS.mkv,,,,,tv,480p,,WEB-DL,,Jujutsu Kaisen,
Naruto_2004_REMASTERED_720p_WEB-DL_x265_.FraMeSToR.mkv,x265,,,,movie,720p,,WEB-DL,,Naruto,2004
The_Mandalorian_2010_GERMAN_1440p_DVDRip_AVC_.GROUP.mkv,AVC,,,GERMAN,movie,1440p,,DVDRip,,The Mandalorian,2010
[HorribleSubs] Attack on Titan - 08 [1440p][Multiple Subtitle].mkv,,8,,,anime,1440p,,,HorribleSubs,Attack on Titan,
Demon Slayer 1996.07.03 Legacy 720p WEB-DL H.264.mkv,,,Pilot,,tv,720p,,WEB-DL,,Demon Slayer,
[Erai-raws] Demon Slayer - 06 [480p].mkv,,6,,,anime,,,,Erai-raws,Demon Slayer,
The Dark Knight 1987 UNRATED 1080p TrueHD.7.1 HULU AVC .GROUP.mkv,AVC,,,,movie,1080p,,HULU,,The Dark Knight,1987
[Underwater] One Piece - 06 [480p].mkv,,6,,,anime,480p,,,Underwater,One Piece,
Naruto.S14E12.The.Beginning.480p.mkv,,12,The Beginning,,tv,,14,,,Naruto,
[HorribleSubs] The Shawshank Redemption - 05 [2160p].mkv,,5,,,anime,2160p,,,HorribleSubs,The Shawshank Redemption,
Breaking Bad S10E23-24 2160p BDRip HEVC -VEXT.mkv,,23,,,tv,2160p,10,BDRip,,Breaking Bad,
The-Dark-Knight.S13E11.480p.WEBRip.mkv,,11,,,tv,,13,,,The Dark Knight,
Stranger_Things_1985.10.22_2160p_10bit_AAC_HULU_x265_-AMIABLE.mkv,,,,,tv,2160p,,HULU,,Stranger Things,
[Commie] The Matrix - 03 [2160p][Multiple Subtitle].mkv,,3,,,anime,2160p,,,Commie,The Matrix,
Interstellar_2020.03.22_480p_WEBRip_DD5.1_XVID_-AMIABLE.mkv,,,,,tv,480p,,WEBRip,,Interstellar,
Attack on Titan.S11E10.720p.AMZN.mkv,,10,,,tv,,11,,,Attack on Titan,
Interstellar-S09E14-15-1440p-AMZN-AC3-H.264-VEXT.mkv,,14,,,tv,1440p,9,AMZN,,Interstellar,
Pulp Fiction S15E06 1080p AMZN x265.mkv,,6,,,tv,1080p,15,AMZN,,Pulp Fiction,
Naruto_2000_REMASTERED_2160p_NETFLIX_XVID.mkv,XVID,,,,movie,2160p,,NETFLIX,,Naruto,2000
Attack-on-Titan-S06E21E22-480p-WEBRip-AAC-H.264-AMIABLE.mkv,,21,,,tv,480p,6,WEBRip,,Attack on Titan,
The Shawshank Redemption 4x06 Pilot 1080p WEBRip x265 -VEXT.mkv,,6,New Dawn,,tv,1080p,4,WEBRip,,The Shawshank Redemption,
[MTBB] Fight Club - 08 [2160p][10bit].mkv,,8,,,anime,2160p,,,MTBB,Fight Club,
Death_Note_9x07_New_Dawn_720p_DDP5.1_BluRay_HEVC_-GECKOS.mkv,,7,The Beginning,,tv,720p,9,BluRay,,Death Note,
The_Matrix_2018.12.13_480p_HULU_TrueHD.7.1_x265_-FraMeSToR.mkv,,,,,tv,480p,,HULU,,The Matrix,
Pulp_Fiction_S14E06E07_1440p_HDTV_FLAC_HEVC_-RARBG.mkv,,6,,,tv,1440p,14,HDTV,,Pulp Fiction,
Parasite.S04E17.Origins.720p.mkv,,17,Origins,,tv,,4,,,Parasite,
The-Shawshank-Redemption-2024-480p-WEBRip-x264-YIFY.mkv,x264,,,,movie,480p,,WEBRip,,The Shawshank Redemption,2024
[SubsPlease] The Mandalorian S3 - 07 [2160p].mkv,,7,,,anime,2160p,S3,,SubsPlease,The Mandalorian,
Inception 2024 REMUX 1080p DD5.1 DVDRip x264 .GECKOS.mkv,x264,,,,movie,1080p,,DVDRip,,Inception,2024
The-Mandalorian-2012-KOREAN-REPACK-1080p-HDTV-x265.mkv,x265,,,KOREAN,movie,1080p,,HDTV,,The Mandalorian,2012
The-Godfather-2001-SPANISH-HDR-1080p-DTS-HD.MA.5.1-HDTV-x265.mkv,x265,,,SPANISH,movie,1080p,,HDTV,,The Godfather,2001
Demon_Slayer_1989_REPACK_1440p_AC3_NETFLIX_H.264_-GROUP.mkv,H.264,,,,movie,1440p,,NETFLIX,,Demon Slayer,1989
The Office S10E23 The Beginning HDR 1080p NETFLIX AVC .RARBG.mkv,,23,The End,,tv,1080p,10,NETFLIX,,The Office,
[MTBB] Demon Slayer - 18 [2160p][Multiple Subtitle].mkv,,18,,,anime,2160p,,,MTBB,Demon Slayer,
The_Dark_Knight_2017_HDR_720p_BDRip_AVC.mkv,AVC,,,,movie,720p,,BDRip,,The Dark Knight,2017
The_Dark_Knight_1995_IMAX_1440p_TrueHD.7.1_WEB-DL_H.264_-FraMeSToR.mkv,H.264,,,,movie,1440p,,WEB-DL,,The Dark Knight,1995
The_Dark_Knight_1988_720p_HDTV_AVC_.SPARKS.mkv,AVC,,,,movie,720p,,HDTV,,The Dark Knight,1988
[Commie] Parasite.-.08.(2160p).mkv,,8,,,anime,2160p,,,Commie,Parasite,
The_Office_1985_1080p_DVDRip_x264_-SPARKS.mkv,x264,,,,movie,1080p,,DVDRip,,The Office,1985
Inception.S10E5.2160p.HDTV.mkv,,5,,,tv,,10,,,Inception,
Friends 1996 2160p HDTV XVID.mkv,XVID,,,,movie,2160p,,HDTV,,Friends,1996
The-Godfather-S07E08-2160p-HDTV-DDP5.1-HEVC.mkv,,8,,,tv,2160p,7,HDTV,,The Godfather,
The_Matrix_S01E02_1440p_BluRay_XVID_.GECKOS.mkv,,2,,,tv,1440p,1,BluRay,,The Matrix,
One-Piece-S03E08E09-480p-REPACK-NETFLIX-x265-.YIFY.mkv,,8,,,tv,480p,3,NETFLIX,,One Piece,
The-Mandalorian-2013-720p-BDRip-HEVC.mkv,HEVC,,,,movie,720p,,BDRip,,The Mandalorian,2013
My_Hero_Academia_S01E08-09_2160p_REMUX_NETFLIX_x264_.FraMeSToR.mkv,,8,,,tv,2160p,1,NETFLIX,,My Hero Academia,
[Underwater] The Dark Knight - 12 [BD][2160p][Uncensored].mkv,,12,,,anime,2160p,,,Underwater,The Dark Knight,
Fight Club.s12e11.2160p.AMZN.mkv,,11,,,tv,,12,,,Fight Club,
Jujutsu-Kaisen-1983-FRENCH-UNRATED-1080p-HDTV-x264.mkv,x264,,,FRENCH,movie,1080p,,HDTV,,Jujutsu Kaisen,1983
[Underwater] Avengers Endgame - 22 [2160p][Multiple Subtitle].mkv,,22,,,anime,2160p,,,Underwater,Avengers Endgame,
[Judas] Fullmetal Alchemist - 05 [480p].mkv,,5,,,anime,480p,,,Judas,Fullmetal Alchemist,
Interstellar_2004_HDR_720p_DDP5.1_WEB-DL_x264_-FraMeSToR.mkv,x264,,,,movie,720p,,WEB-DL,,Interstellar,2004
[Judas] Inception - 19 [480p].mkv,,19,,,anime,480p,,,Judas,Inception,
The_Office_2017_1080p_NETFLIX_FLAC_AVC_-RARBG.mkv,AVC,,,,movie,1080p,,NETFLIX,,The Office,2017
The.Godfather.3x05.1440p.WEBRip.mkv,,5,,,tv,,3,,,The Godfather,
Naruto S02E08E09 2160p DVDRip x264 -YIFY.mkv,,8,,,tv,2160p,2,DVDRip,,Naruto,
[HorribleSubs] Naruto - 16 [1080p].mkv,,16,,,anime,,,,HorribleSubs,Naruto,
My-Hero-Academia-2009-2160p-WEBRip-AVC-.FraMeSToR.mkv,AVC,,,,movie,2160p,,WEBRip,,My Hero Academia,2009
[SubsPlease] My Hero Academia - 05 [720p][HEVC].mkv,,5,,,anime,720p,,,SubsPlease,My Hero Academia,
Breaking-Bad-2022-SPANISH-EXTENDED-1080p-HULU-HEVC-.RARBG.mkv,HEVC,,,SPANISH,movie,1080p,,HULU,,Breaking Bad,2022
Game-of-Thrones-2005-2160p-AMZN-AVC-GECKOS.mkv,AVC,,,,movie,2160p,,AMZN,,Game of Thrones,2005
Avengers_Endgame_2013_SPANISH_1080p_WEBRip_MP3_H.264.mkv,H.264,,,SPANISH,movie,1080p,,WEBRip,,Avengers Endgame,2013
[Judas] Friends - 21 [BD][480p][HEVC].mkv,,21,,,anime,480p,,,Judas,Friends,
Jujutsu_Kaisen.S14E19.Legacy.2160p.mkv,,19,Legacy,,tv,,14,,,Jujutsu Kaisen,
[Erai-raws] Interstellar.-.21.(480p).mkv,,21,,,anime,480p,,,Erai-raws,Interstellar,
Attack-on-Titan-S03E15-2160p-DVDRip-DTS-HD.MA.5.1-HEVC-RARBG.mkv,,15,,,tv,2160p,3,DVDRip,,Attack on Titan,
One_Piece_2014_1080p_WEB-DL_H.264_-YIFY.mkv,H.264,,,,movie,1080p,,WEB-DL,,One Piece,2014
Naruto-2015.08.12-Legacy-HDR-MP3-1080p-HDTV-HEVC-.GROUP.mkv,,,The End,,tv,1080p,,HDTV,,Naruto,
Avengers_Endgame_2011.10.08_1440p_DVDRip_XVID.mkv,,,,,tv,1440p,,DVDRip,,Avengers Endgame,
The-Dark-Knight-2019.02.25-Aftermath-EXTENDED-AAC-1080p-WEBRip-XVID-AMIABLE.mkv,,,The Beginning,,tv,1080p,,WEBRip,,The Dark Knight,
Demon Slayer 2009 DC 480p BluRay AVC .YIFY.mkv,AVC,,,,movie,480p,,BluRay,,Demon Slayer,2009
The Godfather 12x14 2160p DC HULU AVC .RARBG.mkv,,14,,,tv,2160p,12,HULU,,The Godfather,
[MTBB] The Shawshank Redemption S3 - 08 [1080p].mkv,,8,,,anime,1080p,S3,,MTBB,The Shawshank Redemption,
[SubsPlease] The Godfather - 07 [1440p].mkv,,7,,,anime,,,,SubsPlease,The Godfather,
Naruto.S04E11.Origins.1080p.mkv,,11,Origins,,tv,,4,,,Naruto,
Demon_Slayer.s11e17.1080p.NETFLIX.mkv,,17,,,tv,,11,,,Demon Slayer,
Interstellar_15x13_2160p_HDTV_HEVC_.GECKOS.mkv,,13,,,tv,2160p,15,HDTV,,Interstellar,
Friends-2015-1440p-BDRip-AVC-.SPARKS.mkv,AVC,,,,movie,1440p,,BDRip,,Friends,2015
Avengers_Endgame_S08E05E06_Origins_HDR_2160p_WEB-DL_x264_.GROUP.mkv,,5,Pilot,,tv,2160p,8,WEB-DL,,Avengers Endgame,
[Erai-raws] My Hero Academia S2 - 21 [1440p].mkv,,21,,,anime,1440p,S2,,Erai-raws,My Hero Academia,
Game of Thrones S14E01 New Dawn 720p HDTV HEVC .GECKOS.mkv,,1,Revelations,,tv,720p,14,HDTV,,Game of Thrones,
Friends_7x19_480p_10bit_AC3_BluRay_AVC_.GROUP.mkv,,19,,,tv,480p,7,BluRay,,Friends,
[Judas] Avengers Endgame - 24 [720p][HEVC].mkv,,24,,,anime,720p,,,Judas,Avengers Endgame,
Demon-Slayer-2001-1440p-WEB-DL-H.264-SPARKS.mkv,H.264,,,,movie,1440p,,WEB-DL,,Demon Slayer,2001
Fullmetal_Alchemist_1990_1080p_BluRay_H.264.mkv,H.264,,,,movie,1080p,,BluRay,,Fullmetal Alchemist,1990
One-Piece-1990-1440p-BDRip-x265-SPARKS.mkv,x265,,,,movie,1440p,,BDRip,,One Piece,1990
[Underwater] The Godfather - 03 [720p].mkv,,3,,,anime,720p,,,Underwater,The Godfather,
[MTBB] Game of Thrones S3 - 08 [1080p].mkv,,8,,,anime,1080p,S3,,MTBB,Game of Thrones,
Death Note S07E22E23 1440p HDR BluRay H.264.mkv,,22,,,tv,1440p,7,BluRay,,Death Note,
The Matrix 1987 KOREAN 480p NETFLIX x265 -FraMeSToR.mkv,x265,,,KOREAN,movie,480p,,NETFLIX,,The Matrix,1987
Death_Note_S07E12-13_1440p_UNRATED_AAC_DVDRip_H.264.mkv,,12,,,tv,1440p,7,DVDRip,,Death Note,
Breaking-Bad-S12E22-Pilot-720p-BDRip-XVID-AMIABLE.mkv,,22,The Beginning,,tv,720p,12,BDRip,,Breaking Bad,
Interstellar 2003 1080p BluRay HEVC .YIFY.mkv,HEVC,,,,movie,1080p,,BluRay,,Interstellar,2003
Inception.2016.1080p.AMZN.x264.mkv,,,,,movie,1080p,,,,Inception,2016
My Hero Academia 2016 REPACK 480p BDRip XVID .RARBG.mkv,XVID,,,,movie,480p,,BDRip,,My Hero Academia,2016
Stranger Things 2017 720p WEB-DL DDP5.1 H.264 -YIFY.mkv,H.264,,,,movie,720p,,WEB-DL,,Stranger Things,2017
[MTBB] Stranger Things - 17 [720p][Multiple Subtitle].mkv,,17,,,anime,720p,,,MTBB,Stranger Things,
Breaking Bad 1981 JAPANESE 1440p AMZN FLAC HEVC .VEXT.mkv,HEVC,,,JAPANESE,movie,1440p,,AMZN,,Breaking Bad,1981
Death_Note_2014_1440p_BluRay_H.264_-YIFY.mkv,H.264,,,,movie,1440p,,BluRay,,Death Note,2014
Death_Note_2003_480p_BDRip_HEVC.mkv,HEVC,,,,movie,480p,,BDRip,,Death Note,2003
Interstellar-2020-10bit-1080p-HDTV-XVID-.YIFY.mkv,XVID,,,,movie,1080p,,HDTV,,Interstellar,2020
Fight-Club-2005.02.22-720p-NETFLIX-H.264-.YIFY.mkv,,,,,tv,720p,,NETFLIX,,Fight Club,
The_Dark_Knight_1983_720p_DVDRip_HEVC.mkv,HEVC,,,,movie,720p,,DVDRip,,The Dark Knight,1983
Jujutsu_Kaisen_S03E05_480p_10bit_AAC_AMZN_XVID.mkv,,5,,,tv,480p,3,AMZN,,Jujutsu Kaisen,
[Judas] Pulp Fiction - 07 [1440p][Multiple Subtitle].mkv,,7,,,anime,1440p,,,Judas,Pulp Fiction,
Naruto 1991 UNRATED 480p DTS-HD.MA.5.1 HDTV AVC.mkv,AVC,,,,movie,480p,,HDTV,,Naruto,1991
The Dark Knight.S07E20.2160p.WEB-DL.mkv,,20,,,tv,,7,,,The Dark Knight,
My Hero Academia 2013 FRENCH 2160p HULU x265.mkv,x265,,,FRENCH,movie,2160p,,HULU,,My Hero Academia,2013
Pulp.Fiction.S14E04.The.Beginning.1440p.mkv,,4,The Beginning,,tv,,14,,,Pulp Fiction,
Game-of-Thrones.s08e13.2160p.BDRip.mkv,,13,,,tv,,8,,,Game of Thrones,
Pulp_Fiction_3x12_The_End_720p_WEB-DL_HEVC.mkv,,12,The Beginning,,tv,720p,3,WEB-DL,,Pulp Fiction,
The_Shawshank_Redemption.s10e21.1080p.BluRay.mkv,,21,,,tv,,10,,,The Shawshank Redemption,
Death-Note-2004-2160p-HDTV-HEVC.mkv,HEVC,,,,movie,2160p,,HDTV,,Death Note,2004
My-Hero-Academia-S11E22E23-1440p-10bit-BluRay-HEVC-FraMeSToR.mkv,,22,,,tv,1440p,11,BluRay,,My Hero Academia,
Attack.on.Titan.S03E01.The.Beginning.1440p.mkv,,1,The Beginning,,tv,,3,,,Attack on Titan,
[Judas] My Hero Academia - 06 [720p].mkv,,6,,,anime,,,,Judas,My Hero Academia,
Attack-on-Titan-2015-480p-DVDRip-XVID-.RARBG.mkv,XVID,,,,movie,480p,,DVDRip,,Attack on Titan,2015
[Judas] The Godfather - 09 [720p].mkv,,9,,,anime,,,,Judas,The Godfather,
My Hero Academia 1989.02.18 1080p WEBRip HEVC -VEXT.mkv,,,,,tv,1080p,,WEBRip,,My Hero Academia,
[Underwater] Death Note - 23 [720p].mkv,,23,,,anime,720p,,,Underwater,Death Note,
Fight Club 1991.12.17 New Dawn IMAX TrueHD.7.1 2160p AMZN AVC .YIFY.mkv,,,Origins,,tv,2160p,,AMZN,,Fight Club,
[SubsPlease] The.Matrix.-.04.(720p).mkv,,4,,,anime,720p,,,SubsPlease,The Matrix,
[HorribleSubs] One Piece - 11 [1080p].mkv,,11,,,anime,,,,HorribleSubs,One Piece,
Stranger_Things.S09E03.Origins.1080p.mkv,,3,Origins,,tv,,9,,,Stranger Things,
Death Note 2x15 1080p NETFLIX TrueHD.7.1 x265 -GECKOS.mkv,,15,,,tv,1080p,2,NETFLIX,,Death Note,
My-Hero-Academia-S15E17E18-480p-WEB-DL-AC3-x264.mkv,,17,,,tv,480p,15,WEB-DL,,My Hero Academia,
Inception_1995_720p_BluRay_DDP5.1_H.264_-VEXT.mkv,H.264,,,,movie,720p,,BluRay,,Inception,1995
[MTBB] The Matrix - 23 [2160p][HEVC].mkv,,23,,,anime,2160p,,,MTBB,The Matrix,
My-Hero-Academia-11x12-The-Beginning-2160p-WEBRip-x264-.GECKOS.mkv,,12,The End,,tv,2160p,11,WEBRip,,My Hero Academia,
[Erai-raws] Demon.Slayer.-.11.(1440p).mkv,,11,,,anime,1440p,,,Erai-raws,Demon Slayer,
[SubsPlease] My Hero Academia - 06 [1080p].mkv,,6,,,anime,,,,SubsPlease,My Hero Academia,
The Mandalorian 1980 1440p BluRay DD5.1 x265 -FraMeSToR.mkv,x265,,,,movie,1440p,,BluRay,,The Mandalorian,1980
[Erai-raws] Naruto S3 - 13 [BD][480p][HEVC].mkv,,13,,,anime,480p,S3,,Erai-raws,Naruto,
Avengers-Endgame.S12E11.Aftermath.1080p.mkv,,11,Aftermath,,tv,,12,,,Avengers Endgame,
The Office 8x11 Aftermath REPACK MP3 1440p WEBRip x264 .RARBG.mkv,,11,The End,,tv,1440p,8,WEBRip,,The Office,
Parasite-2004-2160p-BluRay-AC3-HEVC-AMIABLE.mkv,HEVC,,,,movie,2160p,,BluRay,,Parasite,2004
Jujutsu-Kaisen-2002-720p-WEB-DL-AC3-XVID-SPARKS.mkv,XVID,,,,movie,720p,,WEB-DL,,Jujutsu Kaisen,2002
Attack on Titan.1990.480p.HDTV.XVID.mkv,,,,,movie,480p,,,,Attack on Titan,1990
Fight Club 1999 IMAX 1080p DVDRip HEVC .YIFY.mkv,HEVC,,,,movie,1080p,,DVDRip,,Fight Club,1999
Fight.Club.s02e22.1080p.WEBRip.mkv,,22,,,tv,,2,,,Fight Club,
[HorribleSubs] The Mandalorian - 22 [BD][2160p][DualAudio].mkv,,22,,,anime,2160p,,,HorribleSubs,The Mandalorian,
[MTBB] Interstellar - 22 [1440p].mkv,,22,,,anime,,,,MTBB,Interstellar,
[MTBB] Parasite - 07 [1080p].mkv,,7,,,anime,,,,MTBB,Parasite,
[Commie] The Dark Knight S3 - 05 [2160p].mkv,,5,,,anime,2160p,S3,,Commie,The Dark Knight,
My.Hero.Academia.1993.480p.BluRay.HEVC.mkv,,,,,movie,480p,,,,My Hero Academia,1993
Interstellar-2021-1440p-AMZN-AC3-x264.mkv,x264,,,,movie,1440p,,AMZN,,Interstellar,2021
Stranger-Things-1995-2160p-NETFLIX-DD5.1-x264.mkv,x264,,,,movie,2160p,,NETFLIX,,Stranger Things,1995
[HorribleSubs] One Piece - 01 [720p].mkv,,1,,,anime,720p,,,HorribleSubs,One Piece,
Friends-7x19-New-Dawn-480p-WEB-DL-x264-SPARKS.mkv,,19,Legacy,,tv,480p,7,WEB-DL,,Friends,
Stranger.Things.1985.480p.HDTV.AVC.mkv,,,,,movie,480p,,,,Stranger Things,1985
[Judas] Attack.on.Titan.-.12.(2160p).mkv,,12,,,anime,2160p,,,Judas,Attack on Titan,
The_Mandalorian.2024.2160p.NETFLIX.H.264.mkv,,,,,movie,2160p,,,,The Mandalorian,2024
Attack on Titan 10x03 Origins 480p WEBRip H.264.mkv,,3,Legacy,,tv,480p,10,WEBRip,,Attack on Titan,
Pulp Fiction S11E01-02 1440p AMZN AVC -AMIABLE.mkv,,1,,,tv,1440p,11,AMZN,,Pulp Fiction,
[MTBB] The Office - 21 [BD][2160p][DualAudio].mkv,,21,,,anime,2160p,,,MTBB,The Office,
The-Godfather-S03E17-The-End-DC-DD5.1-1080p-DVDRip-x264-.FraMeSToR.mkv,,17,The End,,tv,1080p,3,DVDRip,,The Godfather,
One-Piece-2004-PROPER-2160p-WEBRip-H.264.mkv,H.264,,,,movie,2160p,,WEBRip,,One Piece,2004
My Hero Academia 2016 DC 1080p BluRay x264 -AMIABLE.mkv,x264,,,,movie,1080p,,BluRay,,My Hero Academia,2016
Inception 2012 REPACK 720p HULU x265 .GECKOS.mkv,x265,,,,movie,720p,,HULU,,Inception,2012
[SubsPlease] The Dark Knight - 06 [480p].mkv,,6,,,anime,480p,,,SubsPlease,The Dark Knight,
Pulp_Fiction_2017_2160p_NETFLIX_HEVC_.VEXT.mkv,HEVC,,,,movie,2160p,,NETFLIX,,Pulp Fiction,2017
[Erai-raws] Breaking Bad - 15 [BD][1080p][DualAudio].mkv,,15,,,anime,1080p,,,Erai-raws,Breaking Bad,
The Office 2016 1080p HDTV XVID -GROUP.mkv,XVID,,,,movie,1080p,,HDTV,,The Office,2016
The-Shawshank-Redemption.1998.1080p.BluRay.AVC.mkv,,,,,movie,1080p,,,,The Shawshank Redemption,1998
The-Dark-Knight.7x06.2160p.HDTV.mkv,,6,,,tv,,7,,,The Dark Knight,
Game of Thrones 12x03 New Dawn 1440p AAC DVDRip H.264 -AMIABLE.mkv,,3,The Beginning,,tv,1440p,12,DVDRip,,Game of Thrones,
My-Hero-Academia-S13E15-Pilot-1080p-HDTV-x264.mkv,,15,Revelations,,tv,1080p,13,HDTV,,My Hero Academia,
Interstellar 2007 KOREAN REMASTERED 1080p MP3 BDRip x264 -FraMeSToR.mkv,x264,,,KOREAN,movie,1080p,,BDRip,,Interstellar,2007
Pulp Fiction 1990 FRENCH 480p NETFLIX AVC .FraMeSToR.mkv,AVC,,,FRENCH,movie,480p,,NETFLIX,,Pulp Fiction,1990
The.Godfather.S02E10.480p.AMZN.mkv,,10,,,tv,,2,,,The Godfather,
Fullmetal-Alchemist-S01E06E07-Origins-2160p-AAC-WEB-DL-AVC.mkv,,6,Aftermath,,tv,2160p,1,WEB-DL,,Fullmetal Alchemist,
One Piece.11x06.720p.WEBRip.mkv,,6,,,tv,,11,,,One Piece,
Avengers Endgame S02E08E09 The End IMAX 480p WEB-DL AVC -GROUP.mkv,,8,Origins,,tv,480p,2,WEB-DL,,Avengers Endgame,
[Commie] Parasite - 05 [BD][480p][Uncensored].mkv,,5,,,anime,480p,,,Commie,Parasite,
Parasite 1984 720p BDRip DDP5.1 AVC.mkv,AVC,,,,movie,720p,,BDRip,,Parasite,1984
Fullmetal_Alchemist_1982_480p_HULU_AAC_AVC_-FraMeSToR.mkv,AVC,,,,movie,480p,,HULU,,Fullmetal Alchemist,1982
Breaking Bad 2013.05.08 480p HDTV MP3 H.264.mkv,,,,,tv,480p,,HDTV,,Breaking Bad,
[Judas] Fight.Club.-.03.(2160p).mkv,,3,,,anime,2160p,,,Judas,Fight Club,
Attack_on_Titan_S07E21E22_Origins_1080p_DTS-HD.MA.5.1_DVDRip_HEVC_.VEXT.mkv,,21,Legacy,,tv,1080p,7,DVDRip,,Attack on Titan,
[MTBB] Parasite - 11 [BD][480p][HEVC].mkv,,11,,,anime,480p,,,MTBB,Parasite,
Attack on Titan 15x04 1440p DVDRip MP3 H.264 .GECKOS.mkv,,4,,,tv,1440p,15,DVDRip,,Attack on Titan,
The Dark Knight S10E19-20 The End 480p BluRay x265.mkv,,19,Revelations,,tv,480p,10,BluRay,,The Dark Knight,
Attack-on-Titan-S02E20E21-Pilot-2160p-DD5.1-NETFLIX-HEVC-.AMIABLE.mkv,,20,Legacy,,tv,2160p,2,NETFLIX,,Attack on Titan,
Stranger-Things.S08E23.720p.NETFLIX.mkv,,23,,,tv,,8,,,Stranger Things,
Breaking_Bad.s14e12.1440p.HULU.mkv,,12,,,tv,,14,,,Breaking Bad,
Inception_S04E11-12_1440p_REMASTERED_DD5.1_BDRip_HEVC_.AMIABLE.mkv,,11,,,tv,1440p,4,BDRip,,Inception,
Game_of_Thrones_2013_1080p_BDRip_x265_.SPARKS.mkv,x265,,,,movie,1080p,,BDRip,,Game of Thrones,2013
Pulp_Fiction_1986.10.20_1080p_NETFLIX_HEVC_-SPARKS.mkv,,,,,tv,1080p,,NETFLIX,,Pulp Fiction,
Interstellar-2010-720p-BDRip-AVC.mkv,AVC,,,,movie,720p,,BDRip,,Interstellar,2010
Game of Thrones 1997 2160p WEB-DL AC3 HEVC .SPARKS.mkv,HEVC,,,,movie,2160p,,WEB-DL,,Game of Thrones,1997
Avengers Endgame 1992.05.28 New Dawn 480p HULU x265 .SPARKS.mkv,,,The Beginning,,tv,480p,,HULU,,Avengers Endgame,
Stranger Things S07E11 720p IMAX WEBRip XVID -RARBG.mkv,,11,,,tv,720p,7,WEBRip,,Stranger Things,
The_Godfather_1996_480p_HDTV_DDP5.1_XVID_.YIFY.mkv,XVID,,,,movie,480p,,HDTV,,The Godfather,1996
Parasite_2023_SWEDISH_480p_NETFLIX_TrueHD.7.1_x265.mkv,x265,,,SWEDISH,movie,480p,,NETFLIX,,Parasite,2023
[HorribleSubs] Parasite - 14 [BD][480p][HEVC].mkv,,14,,,anime,480p,,,HorribleSubs,Parasite,
[HorribleSubs] Death.Note.-.14.(720p).mkv,,14,,,anime,720p,,,HorribleSubs,Death Note,
[Erai-raws] The Shawshank Redemption - 07 [BD][1440p][Uncensored].mkv,,7,,,anime,1440p,,,Erai-raws,The Shawshank Redemption,
Interstellar 15x01 Aftermath 1080p DVDRip HEVC -FraMeSToR.mkv,,1,Origins,,tv,1080p,15,DVDRip,,Interstellar,
[Commie] Attack.on.Titan.-.24.(480p).mkv,,24,,,anime,480p,,,Commie,Attack on Titan,
Stranger_Things_S11E13_1440p_WEB-DL_x264_-SPARKS.mkv,,13,,,tv,1440p,11,WEB-DL,,Stranger Things,
Interstellar-2x11-1080p-HDR-WEB-DL-H.264.mkv,,11,,,tv,1080p,2,WEB-DL,,Interstellar,
Naruto-2008-SWEDISH-480p-HDTV-TrueHD.7.1-AVC-.SPARKS.mkv,AVC,,,SWEDISH,movie,480p,,HDTV,,Naruto,2008
Fight_Club_S07E02_1080p_HDR_NETFLIX_x265.mkv,,2,,,tv,1080p,7,NETFLIX,,Fight Club,
Jujutsu Kaisen.2014.1080p.WEB-DL.x264.mkv,,,,,movie,1080p,,,,Jujutsu Kaisen,2014
Attack on Titan S12E04E05 New Dawn 1440p WEBRip x264 -FraMeSToR.mkv,,4,The End,,tv,1440p,12,WEBRip,,Attack on Titan,
Death Note 1985.02.12 The Beginning 2160p WEB-DL x265.mkv,,,The End,,tv,2160p,,WEB-DL,,Death Note,
Game of Thrones S05E09E10 720p HULU DDP5.1 x265.mkv,,9,,,tv,720p,5,HULU,,Game of Thrones,
Stranger Things S05E18E19 Aftermath 1080p NETFLIX AVC -YIFY.mkv,,18,The End,,tv,1080p,5,NETFLIX,,Stranger Things,
[Judas] Parasite.-.10.(2160p).mkv,,10,,,anime,2160p,,,Judas,Parasite,
Fullmetal_Alchemist_2021.08.10_The_End_720p_AMZN_H.264_.FraMeSToR.mkv,,,Origins,,tv,720p,,AMZN,,Fullmetal Alchemist,
